phi_soil,phi_free,p0,ce
0.731789,0.103704,0.365234,0.634766
0.609784,0.108104,0.351562,0.648438
0.663190,0.096094,0.371582,0.628418
0.931575,0.104149,0.351562,0.648438
0.532821,0.091999,0.256836,0.743164
0.756136,0.104991,0.267090,0.732910
0.813352,0.091013,0.258301,0.741699
0.605520,0.094346,0.289062,0.710938
0.856649,0.093950,0.379395,0.620605
0.826029,0.098629,0.296875,0.703125
0.618214,0.106783,0.359863,0.640137
0.815701,0.100084,0.367188,0.632812
0.508333,0.103777,0.219727,0.780273
0.931511,0.105808,0.409180,0.590820
0.756921,0.097120,0.245605,0.754395
0.806077,0.100082,0.371582,0.628418
0.789734,0.106901,0.304688,0.695312
0.662592,0.099566,0.288574,0.711426
0.780876,0.104581,0.367188,0.632812
0.638941,0.100582,0.304199,0.695801
0.817861,0.092111,0.340332,0.659668
0.798911,0.098521,0.322754,0.677246
0.571507,0.104053,0.254395,0.745605
0.864520,0.102430,0.301758,0.698242
0.783470,0.100075,0.234375,0.765625
0.673079,0.107764,0.326172,0.673828
0.585845,0.106102,0.274414,0.725586
0.795205,0.101656,0.250488,0.749512
0.914460,0.093988,0.253906,0.746094
0.912018,0.109162,0.286621,0.713379
0.587805,0.090378,0.259766,0.740234
0.742897,0.108550,0.372070,0.627930
0.641818,0.097533,0.321289,0.678711
0.763906,0.109221,0.296875,0.703125
0.512065,0.091124,0.395020,0.604980
0.571651,0.092774,0.294434,0.705566
0.513662,0.107377,0.288574,0.711426
0.757862,0.099378,0.286133,0.713867
0.514388,0.103843,0.226074,0.773926
0.804311,0.097202,0.376953,0.623047
0.669267,0.097064,0.374023,0.625977
0.893310,0.109326,0.368652,0.631348
0.866904,0.106510,0.256348,0.743652
0.734261,0.091011,0.386719,0.613281
0.655262,0.098762,0.385742,0.614258
0.653176,0.101572,0.268555,0.731445
0.625280,0.097759,0.337402,0.662598
0.553141,0.095303,0.270996,0.729004
0.758403,0.100857,0.382812,0.617188
0.613438,0.092748,0.375488,0.624512
0.838709,0.103396,0.348145,0.651855
0.793847,0.098550,0.312012,0.687988
0.728353,0.092595,0.376465,0.623535
0.501941,0.106975,0.333984,0.666016
0.753390,0.096125,0.400879,0.599121
0.572099,0.107231,0.311035,0.688965
0.821715,0.107368,0.363281,0.636719
0.631688,0.109867,0.394531,0.605469
0.674265,0.092803,0.391602,0.608398
0.871171,0.099928,0.268066,0.731934
0.526049,0.101642,0.318848,0.681152
0.651546,0.104880,0.301270,0.698730
0.708665,0.108499,0.375000,0.625000
0.836124,0.104180,0.339844,0.660156
0.720747,0.096796,0.249512,0.750488
0.662930,0.097067,0.337891,0.662109
0.760681,0.104012,0.242676,0.757324
0.523725,0.097653,0.285156,0.714844
0.506945,0.108303,0.262207,0.737793
0.547048,0.108345,0.342285,0.657715
0.890657,0.097711,0.270996,0.729004
0.519826,0.096587,0.303711,0.696289
0.571275,0.100227,0.357422,0.642578
0.878901,0.096002,0.252441,0.747559
0.631371,0.091394,0.294922,0.705078
0.791564,0.105209,0.262695,0.737305
0.885381,0.095789,0.264648,0.735352
0.929688,0.092101,0.271973,0.728027
0.899912,0.102055,0.269531,0.730469
0.622735,0.107487,0.292969,0.707031
0.684702,0.107739,0.237793,0.762207
0.865842,0.103232,0.321777,0.678223
0.854530,0.091839,0.238281,0.761719
0.907089,0.106923,0.346680,0.653320
0.796271,0.094231,0.243652,0.756348
0.522069,0.103975,0.261230,0.738770
0.844007,0.107045,0.311035,0.688965
0.538514,0.105875,0.367188,0.632812
0.564713,0.095946,0.386230,0.613770
0.584177,0.104150,0.266602,0.733398
0.836446,0.091267,0.262695,0.737305
0.637195,0.106056,0.272461,0.727539
0.829973,0.097211,0.246582,0.753418
0.596609,0.107918,0.327637,0.672363
0.702897,0.104144,0.266113,0.733887
0.929505,0.102246,0.287598,0.712402
0.582653,0.105233,0.255371,0.744629
0.542035,0.090283,0.341797,0.658203
0.751263,0.100172,0.366211,0.633789
0.834346,0.104083,0.301270,0.698730
0.817506,0.104104,0.296875,0.703125
0.817771,0.091772,0.305176,0.694824
0.802461,0.096042,0.250488,0.749512
0.571163,0.109889,0.291016,0.708984
0.639649,0.109645,0.413086,0.586914
0.666055,0.096842,0.304688,0.695312
0.618520,0.093334,0.200195,0.799805
0.560630,0.092769,0.297363,0.702637
0.802345,0.095819,0.326172,0.673828
0.815145,0.099228,0.367676,0.632324
0.623473,0.107383,0.269531,0.730469
0.771845,0.098630,0.381348,0.618652
0.724752,0.094296,0.374023,0.625977
0.607336,0.091356,0.310547,0.689453
0.610410,0.109264,0.272949,0.727051
0.584534,0.108023,0.174316,0.825684
0.790780,0.103369,0.351074,0.648926
0.800912,0.100003,0.365723,0.634277
0.642503,0.095716,0.278809,0.721191
0.806083,0.097200,0.379395,0.620605
0.542385,0.099758,0.388184,0.611816
