phi_soil,phi_free,p0,ce
0.731789,0.103704,0.550293,0.449707
0.609784,0.108104,0.546875,0.453125
0.663190,0.096094,0.535645,0.464355
0.931575,0.104149,0.548340,0.451660
0.532821,0.091999,0.521973,0.478027
0.756136,0.104991,0.549805,0.450195
0.813352,0.091013,0.568848,0.431152
0.605520,0.094346,0.543457,0.456543
0.856649,0.093950,0.537109,0.462891
0.826029,0.098629,0.573242,0.426758
0.618214,0.106783,0.545898,0.454102
0.815701,0.100084,0.543457,0.456543
0.508333,0.103777,0.524902,0.475098
0.931511,0.105808,0.578125,0.421875
0.756921,0.097120,0.532715,0.467285
0.806077,0.100082,0.550781,0.449219
0.789734,0.106901,0.554199,0.445801
0.662592,0.099566,0.553711,0.446289
0.780876,0.104581,0.573730,0.426270
0.638941,0.100582,0.535156,0.464844
0.817861,0.092111,0.558105,0.441895
0.798911,0.098521,0.552734,0.447266
0.571507,0.104053,0.515137,0.484863
0.864520,0.102430,0.555664,0.444336
0.783470,0.100075,0.565918,0.434082
0.673079,0.107764,0.527832,0.472168
0.585845,0.106102,0.520020,0.479980
0.795205,0.101656,0.539551,0.460449
0.914460,0.093988,0.563477,0.436523
0.912018,0.109162,0.563477,0.436523
0.587805,0.090378,0.530762,0.469238
0.742897,0.108550,0.537109,0.462891
0.641818,0.097533,0.543457,0.456543
0.763906,0.109221,0.544434,0.455566
0.512065,0.091124,0.552734,0.447266
0.571651,0.092774,0.543457,0.456543
0.513662,0.107377,0.539062,0.460938
0.757862,0.099378,0.544922,0.455078
0.514388,0.103843,0.519531,0.480469
0.804311,0.097202,0.554199,0.445801
0.669267,0.097064,0.540039,0.459961
0.893310,0.109326,0.563477,0.436523
0.866904,0.106510,0.552246,0.447754
0.734261,0.091011,0.526855,0.473145
0.655262,0.098762,0.530273,0.469727
0.653176,0.101572,0.529297,0.470703
0.625280,0.097759,0.551758,0.448242
0.553141,0.095303,0.548828,0.451172
0.758403,0.100857,0.541504,0.458496
0.613438,0.092748,0.547363,0.452637
