phi_soil,phi_free,p0,ce
0.731789,0.103704,0.669922,0.330078
0.609784,0.108104,0.668945,0.331055
0.663190,0.096094,0.658691,0.341309
0.931575,0.104149,0.698242,0.301758
0.532821,0.091999,0.633789,0.366211
0.756136,0.104991,0.688477,0.311523
0.813352,0.091013,0.660645,0.339355
0.605520,0.094346,0.641602,0.358398
0.856649,0.093950,0.686523,0.313477
0.826029,0.098629,0.700195,0.299805
0.618214,0.106783,0.657715,0.342285
0.815701,0.100084,0.700195,0.299805
0.508333,0.103777,0.642578,0.357422
0.931511,0.105808,0.675781,0.324219
0.756921,0.097120,0.666504,0.333496
0.806077,0.100082,0.671875,0.328125
0.789734,0.106901,0.677734,0.322266
0.662592,0.099566,0.652832,0.347168
0.780876,0.104581,0.662109,0.337891
0.638941,0.100582,0.657227,0.342773
0.817861,0.092111,0.680176,0.319824
0.798911,0.098521,0.662598,0.337402
0.571507,0.104053,0.660156,0.339844
0.864520,0.102430,0.687012,0.312988
0.783470,0.100075,0.681152,0.318848
0.673079,0.107764,0.685059,0.314941
0.585845,0.106102,0.669434,0.330566
0.795205,0.101656,0.684570,0.315430
0.914460,0.093988,0.687988,0.312012
0.912018,0.109162,0.695801,0.304199
0.587805,0.090378,0.650879,0.349121
0.742897,0.108550,0.669922,0.330078
0.641818,0.097533,0.634277,0.365723
0.763906,0.109221,0.671387,0.328613
0.512065,0.091124,0.652344,0.347656
0.571651,0.092774,0.638184,0.361816
0.513662,0.107377,0.636719,0.363281
0.757862,0.099378,0.653809,0.346191
0.514388,0.103843,0.652344,0.347656
0.804311,0.097202,0.693359,0.306641
0.669267,0.097064,0.673828,0.326172
0.893310,0.109326,0.706543,0.293457
0.866904,0.106510,0.674805,0.325195
0.734261,0.091011,0.671875,0.328125
0.655262,0.098762,0.660645,0.339355
0.653176,0.101572,0.647461,0.352539
0.625280,0.097759,0.652344,0.347656
0.553141,0.095303,0.664062,0.335938
0.758403,0.100857,0.679688,0.320312
0.613438,0.092748,0.665527,0.334473
0.838709,0.103396,0.682617,0.317383
0.793847,0.098550,0.670898,0.329102
0.728353,0.092595,0.676758,0.323242
0.501941,0.106975,0.649902,0.350098
0.753390,0.096125,0.676270,0.323730
0.572099,0.107231,0.666016,0.333984
0.821715,0.107368,0.665527,0.334473
0.631688,0.109867,0.642578,0.357422
0.674265,0.092803,0.683594,0.316406
0.871171,0.099928,0.687012,0.312988
0.526049,0.101642,0.634766,0.365234
0.651546,0.104880,0.669434,0.330566
0.708665,0.108499,0.672363,0.327637
0.836124,0.104180,0.681641,0.318359
0.720747,0.096796,0.660645,0.339355
0.662930,0.097067,0.662109,0.337891
0.760681,0.104012,0.678711,0.321289
0.523725,0.097653,0.648438,0.351562
0.506945,0.108303,0.645996,0.354004
0.547048,0.108345,0.651367,0.348633
0.890657,0.097711,0.682129,0.317871
0.519826,0.096587,0.648438,0.351562
0.571275,0.100227,0.647949,0.352051
0.878901,0.096002,0.692871,0.307129
0.631371,0.091394,0.642578,0.357422
0.791564,0.105209,0.665527,0.334473
0.885381,0.095789,0.688965,0.311035
0.929688,0.092101,0.692871,0.307129
0.899912,0.102055,0.705078,0.294922
0.622735,0.107487,0.650391,0.349609
0.684702,0.107739,0.659180,0.340820
0.865842,0.103232,0.690430,0.309570
0.854530,0.091839,0.682129,0.317871
0.907089,0.106923,0.674805,0.325195
0.796271,0.094231,0.685059,0.314941
0.522069,0.103975,0.654785,0.345215
0.844007,0.107045,0.695801,0.304199
0.538514,0.105875,0.660156,0.339844
0.564713,0.095946,0.647949,0.352051
0.584177,0.104150,0.650879,0.349121
0.836446,0.091267,0.673828,0.326172
0.637195,0.106056,0.671875,0.328125
