fold,index,true_label,pred_label
1,2,0,0.0
1,5,1,1.0
1,16,1,1.0
1,19,1,1.0
1,21,1,0.0
1,24,1,1.0
1,33,1,1.0
1,34,1,1.0
1,38,1,0.0
1,41,0,0.0
1,42,0,0.0
1,55,1,1.0
1,59,0,1.0
1,72,1,1.0
1,74,1,0.0
1,75,1,1.0
1,81,1,0.0
1,87,1,1.0
1,88,0,0.0
1,91,1,1.0
1,95,1,1.0
1,97,0,0.0
1,101,1,1.0
1,103,0,1.0
1,111,1,1.0
1,113,0,1.0
1,115,0,0.0
1,118,1,1.0
1,122,0,1.0
1,123,0,0.0
1,125,1,1.0
1,128,0,0.0
1,131,1,1.0
1,135,0,1.0
1,137,1,0.0
1,138,0,0.0
1,144,0,1.0
1,146,1,0.0
1,147,1,1.0
1,153,0,0.0
1,157,1,0.0
1,174,0,0.0
1,175,0,1.0
1,185,1,1.0
1,189,1,1.0
1,191,1,1.0
1,193,1,1.0
1,194,0,0.0
1,196,1,1.0
1,200,0,0.0
1,206,0,0.0
1,212,0,0.0
1,216,0,0.0
1,217,1,1.0
1,220,1,1.0
1,222,0,0.0
1,230,1,1.0
1,232,1,0.0
1,236,0,0.0
1,239,0,0.0
1,246,0,1.0
1,257,0,0.0
1,259,0,1.0
1,260,0,1.0
1,263,0,0.0
1,266,0,0.0
1,271,1,1.0
1,277,0,0.0
1,284,0,0.0
1,288,1,1.0
1,290,0,0.0
1,294,0,1.0
1,297,1,1.0
1,299,0,0.0
1,303,0,0.0
1,306,1,0.0
1,311,0,0.0
1,322,0,0.0
1,336,0,1.0
1,346,1,1.0
1,365,1,1.0
1,366,0,0.0
1,369,1,1.0
1,370,1,1.0
1,371,0,0.0
1,373,0,1.0
1,379,1,0.0
1,390,0,0.0
1,401,0,0.0
1,416,1,0.0
1,417,1,1.0
1,423,0,0.0
1,427,0,0.0
1,450,0,0.0
1,454,0,0.0
1,465,1,1.0
1,471,0,0.0
1,473,1,1.0
1,487,0,1.0
1,492,1,1.0
1,495,1,1.0
1,496,0,1.0
1,498,0,1.0
1,508,0,0.0
1,517,0,0.0
1,518,1,1.0
1,520,0,0.0
1,523,1,0.0
1,527,0,0.0
1,535,1,1.0
1,536,0,0.0
1,538,1,0.0
1,539,1,1.0
1,552,1,1.0
1,555,0,1.0
1,566,0,1.0
1,569,1,1.0
1,576,1,1.0
1,580,0,0.0
1,586,0,0.0
1,587,0,1.0
1,591,0,0.0
1,593,1,1.0
1,594,1,1.0
1,598,1,1.0
1,600,0,1.0
1,605,1,1.0
1,615,0,0.0
1,619,1,0.0
1,621,0,1.0
1,625,1,1.0
1,626,1,0.0
1,630,1,0.0
1,637,1,1.0
1,639,0,0.0
1,642,0,1.0
1,656,0,0.0
1,670,1,1.0
1,681,0,0.0
1,685,1,1.0
1,686,1,0.0
1,687,1,0.0
1,690,0,0.0
1,692,1,1.0
1,700,1,1.0
1,702,0,1.0
1,709,1,0.0
1,719,0,0.0
1,727,1,1.0
1,728,1,0.0
1,736,1,1.0
1,738,1,0.0
1,742,1,1.0
1,748,0,0.0
1,776,0,0.0
1,784,1,1.0
1,787,1,1.0
1,794,0,0.0
1,797,0,0.0
1,798,0,0.0
2,7,1,1.0
2,8,1,0.0
2,11,1,1.0
2,13,1,0.0
2,22,1,1.0
2,25,0,1.0
2,43,1,1.0
2,48,0,0.0
2,49,0,0.0
2,50,1,0.0
2,54,0,0.0
2,61,1,1.0
2,62,0,1.0
2,66,1,0.0
2,68,1,1.0
2,69,1,1.0
2,73,0,0.0
2,77,1,0.0
2,79,1,1.0
2,83,0,1.0
2,92,0,0.0
2,102,0,0.0
2,104,1,1.0
2,106,0,1.0
2,107,1,1.0
2,109,0,0.0
2,116,1,1.0
2,126,0,0.0
2,130,1,0.0
2,134,0,0.0
2,136,0,0.0
2,162,1,1.0
2,168,1,1.0
2,172,0,1.0
2,173,1,1.0
2,182,0,0.0
2,187,0,1.0
2,188,1,1.0
2,190,0,0.0
2,192,1,1.0
2,198,1,1.0
2,203,1,0.0
2,205,0,0.0
2,225,0,0.0
2,228,1,1.0
2,229,1,0.0
2,233,0,0.0
2,244,0,0.0
2,248,1,1.0
2,254,1,1.0
2,272,1,0.0
2,279,0,0.0
2,283,1,1.0
2,289,1,1.0
2,293,0,0.0
2,300,0,1.0
2,304,1,0.0
2,308,1,1.0
2,309,1,1.0
2,312,0,1.0
2,317,0,0.0
2,323,0,1.0
2,324,0,0.0
2,328,0,0.0
2,337,0,0.0
2,338,1,0.0
2,342,1,0.0
2,345,1,0.0
2,347,1,0.0
2,349,1,1.0
2,350,1,1.0
2,354,1,1.0
2,359,0,0.0
2,364,0,0.0
2,368,0,0.0
2,372,1,1.0
2,376,1,1.0
2,382,0,0.0
2,391,1,0.0
2,392,1,1.0
2,395,1,1.0
2,408,0,0.0
2,413,0,0.0
2,415,1,1.0
2,422,1,1.0
2,431,0,0.0
2,435,1,1.0
2,438,0,1.0
2,441,0,0.0
2,452,0,0.0
2,455,1,1.0
2,459,1,1.0
2,467,0,0.0
2,469,1,1.0
2,474,0,0.0
2,475,1,1.0
2,483,0,0.0
2,485,0,0.0
2,489,1,1.0
2,490,0,0.0
2,500,1,1.0
2,505,1,1.0
2,511,1,1.0
2,514,0,0.0
2,524,1,0.0
2,531,0,1.0
2,534,1,1.0
2,537,0,1.0
2,542,1,0.0
2,550,1,1.0
2,556,0,0.0
2,558,0,0.0
2,559,0,0.0
2,561,0,1.0
2,563,0,0.0
2,577,0,1.0
2,582,1,1.0
2,590,1,0.0
2,596,0,1.0
2,606,0,1.0
2,607,0,0.0
2,618,1,0.0
2,620,1,0.0
2,623,1,1.0
2,635,1,0.0
2,655,0,0.0
2,664,0,0.0
2,675,0,0.0
2,679,0,0.0
2,684,1,0.0
2,688,1,0.0
2,698,1,1.0
2,701,0,0.0
2,705,0,1.0
2,706,0,1.0
2,708,0,0.0
2,711,1,1.0
2,718,1,1.0
2,720,0,0.0
2,725,0,0.0
2,733,0,0.0
2,743,0,0.0
2,750,0,1.0
2,755,0,0.0
2,757,0,0.0
2,760,0,1.0
2,761,0,0.0
2,762,1,1.0
2,763,1,1.0
2,764,1,1.0
2,766,0,1.0
2,767,0,1.0
2,770,0,0.0
