fold,index,true_label,pred_label
1,1,1,1.0
1,3,1,0.0
1,19,0,0.0
1,21,0,0.0
1,25,1,0.0
1,31,1,1.0
1,33,1,0.0
1,38,0,1.0
1,45,1,1.0
1,47,1,0.0
1,48,0,0.0
1,56,1,0.0
1,57,0,0.0
1,60,1,0.0
1,64,0,0.0
1,73,0,0.0
1,76,0,0.0
1,85,1,0.0
1,90,1,0.0
1,100,1,0.0
1,112,1,1.0
1,114,0,1.0
1,117,0,0.0
1,124,0,0.0
1,125,1,1.0
1,127,1,1.0
1,130,0,0.0
1,138,1,0.0
1,143,0,0.0
1,145,0,0.0
1,160,0,0.0
1,165,0,0.0
1,167,0,0.0
1,183,1,1.0
1,188,1,1.0
1,190,0,0.0
1,191,0,0.0
1,202,1,1.0
1,207,0,0.0
1,208,1,1.0
1,218,0,0.0
1,219,1,1.0
1,224,0,0.0
1,228,1,0.0
1,248,1,0.0
1,254,1,1.0
1,261,1,0.0
1,262,0,0.0
1,264,0,0.0
1,266,1,0.0
1,267,0,0.0
1,269,0,0.0
1,270,0,0.0
1,274,1,1.0
1,281,1,0.0
1,293,0,1.0
1,304,1,1.0
1,307,0,0.0
1,328,0,0.0
1,335,1,0.0
1,336,1,1.0
1,341,1,0.0
1,349,1,0.0
1,351,1,0.0
1,353,0,1.0
1,364,1,0.0
1,371,1,0.0
1,372,1,1.0
1,376,0,0.0
1,385,0,0.0
1,386,1,0.0
1,387,0,0.0
1,395,0,0.0
1,401,0,1.0
1,403,0,0.0
1,408,1,0.0
1,417,1,0.0
1,433,1,0.0
1,435,0,0.0
1,437,0,1.0
1,439,1,0.0
1,449,1,0.0
1,459,0,0.0
1,460,0,1.0
1,465,0,0.0
1,467,0,0.0
1,474,1,1.0
1,479,0,0.0
1,482,0,1.0
1,483,0,0.0
1,485,0,0.0
1,491,1,1.0
1,497,1,0.0
1,505,0,0.0
1,510,1,0.0
1,512,0,0.0
1,519,1,0.0
1,522,1,0.0
1,528,0,0.0
1,536,1,0.0
1,537,0,0.0
1,538,0,0.0
1,540,0,0.0
1,573,1,1.0
1,574,1,1.0
1,577,0,0.0
1,578,1,0.0
1,579,0,0.0
1,583,1,1.0
1,596,1,0.0
1,613,0,0.0
1,614,0,0.0
1,619,1,0.0
1,627,0,1.0
1,628,1,0.0
1,639,1,1.0
1,641,0,0.0
1,645,1,1.0
1,647,1,0.0
1,657,0,0.0
1,658,0,0.0
1,663,0,0.0
1,666,1,0.0
1,669,0,1.0
1,673,1,0.0
1,675,0,1.0
1,678,0,1.0
1,685,0,0.0
1,691,1,1.0
1,694,0,0.0
1,697,0,0.0
1,702,1,0.0
1,703,0,0.0
1,705,1,0.0
1,707,0,0.0
1,708,1,0.0
1,710,1,0.0
1,712,0,0.0
1,714,0,1.0
1,715,0,0.0
1,717,0,0.0
1,718,1,0.0
1,724,1,1.0
1,726,0,0.0
1,731,0,0.0
1,745,0,0.0
1,749,1,0.0
1,750,0,0.0
1,751,0,0.0
1,753,0,0.0
1,755,0,0.0
1,757,1,0.0
1,771,0,1.0
1,779,1,1.0
1,781,1,0.0
1,783,1,1.0
1,784,0,0.0
1,788,1,0.0
1,791,1,1.0
1,799,1,0.0
1,808,0,1.0
1,809,1,0.0
1,813,1,1.0
1,817,1,1.0
1,822,1,0.0
1,827,0,0.0
1,828,0,0.0
1,834,1,0.0
1,846,0,0.0
1,847,0,0.0
1,853,1,1.0
1,854,1,1.0
1,855,1,0.0
1,871,0,0.0
1,885,1,1.0
1,887,0,0.0
1,898,0,0.0
1,899,0,0.0
1,906,0,0.0
1,907,0,0.0
1,908,1,0.0
1,912,1,0.0
1,916,1,0.0
1,917,0,1.0
1,922,0,0.0
1,926,1,0.0
1,942,1,1.0
1,944,0,0.0
1,948,0,0.0
1,951,0,0.0
1,952,0,0.0
1,957,0,0.0
1,963,1,1.0
1,966,0,0.0
1,970,0,0.0
1,979,0,0.0
1,990,1,0.0
1,994,0,0.0
1,996,1,0.0
1,1002,1,0.0
1,1006,0,0.0
1,1012,0,0.0
1,1026,0,0.0
1,1027,1,0.0
1,1030,0,1.0
1,1035,0,0.0
1,1036,0,0.0
1,1041,0,1.0
1,1048,0,0.0
1,1056,0,0.0
1,1059,0,1.0
1,1063,0,1.0
1,1074,0,0.0
1,1076,0,0.0
1,1080,1,0.0
1,1092,0,0.0
1,1093,0,0.0
1,1095,0,0.0
1,1100,0,0.0
1,1112,0,0.0
1,1114,1,0.0
1,1117,1,1.0
1,1121,1,0.0
1,1124,0,0.0
1,1125,1,0.0
1,1128,0,0.0
1,1137,0,0.0
1,1147,0,0.0
1,1148,0,0.0
1,1154,1,1.0
1,1159,1,0.0
1,1165,0,0.0
1,1167,0,1.0
1,1170,0,0.0
1,1178,1,0.0
1,1183,1,0.0
1,1187,0,0.0
1,1190,1,0.0
1,1194,0,1.0
1,1197,0,0.0
1,1198,0,0.0
1,1201,1,0.0
1,1202,0,0.0
1,1208,1,0.0
1,1214,1,1.0
1,1218,1,0.0
1,1224,0,0.0
1,1228,1,0.0
1,1233,1,0.0
1,1236,1,0.0
1,1243,0,0.0
1,1261,0,0.0
1,1263,1,0.0
1,1270,1,0.0
1,1276,0,0.0
1,1279,0,0.0
1,1281,1,0.0
1,1289,0,0.0
1,1295,0,1.0
1,1308,0,1.0
1,1309,1,0.0
1,1310,0,0.0
1,1313,0,0.0
1,1321,1,0.0
1,1322,1,0.0
1,1325,0,0.0
1,1326,1,1.0
1,1328,0,0.0
1,1330,1,1.0
1,1335,1,0.0
1,1340,1,0.0
1,1352,1,0.0
1,1356,0,0.0
1,1371,1,0.0
1,1372,1,0.0
1,1373,0,0.0
1,1374,0,0.0
1,1376,1,0.0
1,1382,1,0.0
1,1387,0,0.0
1,1389,0,0.0
1,1394,1,0.0
1,1396,0,1.0
1,1400,0,0.0
1,1407,0,1.0
1,1408,1,0.0
1,1411,0,0.0
1,1414,1,1.0
1,1428,0,0.0
1,1430,1,0.0
1,1431,1,1.0
1,1432,1,0.0
1,1438,1,1.0
1,1451,1,0.0
1,1455,1,0.0
1,1456,1,1.0
1,1470,1,1.0
1,1475,1,0.0
1,1481,1,1.0
1,1485,0,0.0
1,1488,1,1.0
1,1490,1,1.0
1,1493,1,1.0
1,1502,1,0.0
1,1503,1,1.0
1,1505,1,0.0
1,1507,1,0.0
1,1512,1,0.0
1,1514,1,0.0
1,1518,1,1.0
1,1528,1,0.0
1,1559,1,0.0
1,1563,1,0.0
1,1564,1,1.0
1,1566,1,1.0
1,1571,1,0.0
1,1574,1,1.0
1,1576,1,0.0
1,1583,1,1.0
1,1585,1,0.0
1,1590,0,0.0
1,1598,0,0.0
1,1601,0,1.0
1,1604,0,0.0
1,1610,1,0.0
1,1616,0,1.0
1,1622,1,1.0
1,1642,1,1.0
1,1644,1,1.0
