
—— fold 1/5 —————————————————————
[eval 00000]  loss = -0.277017
[eval 00010]  loss = -2.373944
[eval 00020]  loss = -4.501420
[eval 00030]  loss = -1.602867
[eval 00040]  loss = 3.900932
[eval 00050]  loss = 0.133221
[eval 00060]  loss = -0.146130
[eval 00070]  loss = -1.057813
[eval 00080]  loss = -2.867198
[eval 00090]  loss = -5.297394
[eval 00100]  loss = -3.928099
[eval 00110]  loss = 2.387614
[eval 00120]  loss = 2.948155
[eval 00130]  loss = -0.159080
[eval 00140]  loss = 1.753849
[eval 00150]  loss = 1.438817
[eval 00160]  loss = -1.602716
[eval 00170]  loss = 0.160552
[eval 00180]  loss = 2.045405
[eval 00190]  loss = -1.105969
[eval 00200]  loss = 0.810257
[eval 00210]  loss = -0.846822
[eval 00220]  loss = 0.498907
[eval 00230]  loss = 1.358119
[eval 00240]  loss = 1.071983
[eval 00250]  loss = 2.656794
[eval 00260]  loss = 0.624097
[eval 00270]  loss = -5.383330
[eval 00280]  loss = -5.355864
[eval 00290]  loss = 0.740770
[eval 00300]  loss = 2.387300
[eval 00310]  loss = -2.128369
[eval 00320]  loss = 2.284734
[eval 00330]  loss = 2.648114
[eval 00340]  loss = -0.994034
[eval 00350]  loss = -0.702133
[eval 00360]  loss = -1.255339
[eval 00370]  loss = 1.027454
[eval 00380]  loss = 1.658374
[eval 00390]  loss = 1.977227
[eval 00400]  loss = -4.653257
[eval 00410]  loss = -5.372655
[eval 00420]  loss = -0.020207
[eval 00430]  loss = 1.429452
[eval 00440]  loss = -0.359539
[eval 00450]  loss = -3.720716
[eval 00460]  loss = 4.294698
[eval 00470]  loss = -4.015073
[eval 00480]  loss = 4.614150
[eval 00490]  loss = 2.720046
[eval 00500]  loss = -2.508362
[eval 00510]  loss = 3.461934
[eval 00520]  loss = 0.085577
[eval 00530]  loss = 2.231516
[eval 00540]  loss = -1.794494
[eval 00550]  loss = -0.078939
[eval 00560]  loss = -3.168429
[eval 00570]  loss = 1.170870
[eval 00580]  loss = -2.372356
[eval 00590]  loss = -3.672117
[eval 00600]  loss = -2.695847
[eval 00610]  loss = -1.011315
[eval 00620]  loss = -1.269059
[eval 00630]  loss = -2.720118
[eval 00640]  loss = -4.599698
[eval 00650]  loss = -3.987919
[eval 00660]  loss = -2.263709
[eval 00670]  loss = 1.293495
[eval 00680]  loss = -1.996387
[eval 00690]  loss = 0.665000
[eval 00700]  loss = -3.139708
[eval 00710]  loss = -5.670816
[eval 00720]  loss = -0.438588
[eval 00730]  loss = -5.304041
[eval 00740]  loss = -2.624063
[eval 00750]  loss = -5.211823
[eval 00760]  loss = 1.910563
[eval 00770]  loss = -4.790887
[eval 00780]  loss = -5.013751
[eval 00790]  loss = -1.528353
[eval 00800]  loss = -5.266407
[eval 00810]  loss = -1.977326
[eval 00820]  loss = -1.498093
[eval 00830]  loss = -4.185113
[eval 00840]  loss = -5.286398
[eval 00850]  loss = -4.060515
[eval 00860]  loss = 4.940518
[eval 00870]  loss = -5.550956
[eval 00880]  loss = 1.776698
[eval 00890]  loss = -4.058843
[eval 00900]  loss = -1.620559
[eval 00910]  loss = -1.763482
[eval 00920]  loss = -5.755423
[eval 00930]  loss = 1.578939
[eval 00940]  loss = -5.451874
[eval 00950]  loss = 0.395142
[eval 00960]  loss = 3.856460
[eval 00970]  loss = -5.475832
[eval 00980]  loss = 0.615534
[eval 00990]  loss = -4.075923
[eval 01000]  loss = -1.088120
[eval 01010]  loss = -2.212962
[eval 01020]  loss = -0.655247
[eval 01030]  loss = -5.539517
[eval 01040]  loss = 0.054037
[eval 01050]  loss = -5.567801
[eval 01060]  loss = -5.544206
[eval 01070]  loss = -0.917688
[eval 01080]  loss = -3.220683
[eval 01090]  loss = 4.176551
[eval 01100]  loss = -5.639096
[eval 01110]  loss = -2.464438
[eval 01120]  loss = -5.831332
[eval 01130]  loss = -5.806909
[eval 01140]  loss = 1.396108
[eval 01150]  loss = 4.177737
[eval 01160]  loss = -5.861862
[eval 01170]  loss = 2.017308
[eval 01180]  loss = -3.581027
[eval 01190]  loss = 4.087990
[eval 01200]  loss = -5.196975
[eval 01210]  loss = -1.133091
[eval 01220]  loss = -5.862396
[eval 01230]  loss = -3.622682
[eval 01240]  loss = 4.259683
[eval 01250]  loss = -5.858828
[eval 01260]  loss = -5.486033
[eval 01270]  loss = -2.039144
[eval 01280]  loss = -4.936322
[eval 01290]  loss = -0.688163
[eval 01300]  loss = -2.981526
[eval 01310]  loss = 2.841420
[eval 01320]  loss = -5.502858
[eval 01330]  loss = 1.627351
[eval 01340]  loss = -1.080566
[eval 01350]  loss = -5.614939
[eval 01360]  loss = 0.958023
[eval 01370]  loss = -5.975534
[eval 01380]  loss = -5.893331
[eval 01390]  loss = 3.002883
[eval 01400]  loss = -5.666097
[eval 01410]  loss = -6.003905
[eval 01420]  loss = -0.450869
[eval 01430]  loss = -6.206331
[eval 01440]  loss = -6.192067
[eval 01450]  loss = 4.241329
[eval 01460]  loss = -0.915806
[eval 01470]  loss = -5.326912
[eval 01480]  loss = -2.067292
[eval 01490]  loss = -2.414138
[eval 01500]  loss = 3.173824
[eval 01510]  loss = -5.621944
[eval 01520]  loss = 1.739523
[eval 01530]  loss = -6.158364
[eval 01540]  loss = -1.166917
[eval 01550]  loss = -4.086094
[eval 01560]  loss = -5.656709
[eval 01570]  loss = 5.368478
[eval 01580]  loss = -5.640009
[eval 01590]  loss = -1.988539
[eval 01600]  loss = -0.097069
[eval 01610]  loss = 3.819399
[eval 01620]  loss = -6.225046
[eval 01630]  loss = -2.736534
[eval 01640]  loss = 5.792871
[eval 01650]  loss = -6.155133
[eval 01660]  loss = -5.154195
[eval 01670]  loss = 2.807118
[eval 01680]  loss = -5.732574
[eval 01690]  loss = -0.021549
[eval 01700]  loss = -3.041914
[eval 01710]  loss = -0.711972
[eval 01720]  loss = -6.228007
[eval 01730]  loss = -3.217952
[eval 01740]  loss = 3.972552
[eval 01750]  loss = -5.635440
[eval 01760]  loss = -4.074024
[eval 01770]  loss = -1.495653
[eval 01780]  loss = -4.156766
[eval 01790]  loss = -4.315403
[eval 01800]  loss = 2.759654
[eval 01810]  loss = -6.279269
[eval 01820]  loss = 1.429301
[eval 01830]  loss = -4.513661
[eval 01840]  loss = -5.410562
[eval 01850]  loss = 1.691432
[eval 01860]  loss = -4.591687
[eval 01870]  loss = -0.352960
[eval 01880]  loss = -5.537347
[eval 01890]  loss = -4.336835
[eval 01900]  loss = -6.228135
[eval 01910]  loss = -2.572059
[eval 01920]  loss = 6.166067
[eval 01930]  loss = -6.226172
[eval 01940]  loss = -1.167047
[eval 01950]  loss = -5.831994
[eval 01960]  loss = -6.197026
[eval 01970]  loss = 2.487764
