fold,index,true_label,pred_label
1,2,0,1.0
1,4,0,1.0
1,19,1,1.0
1,20,0,0.0
1,24,1,1.0
1,32,0,0.0
1,34,0,0.0
1,41,1,1.0
1,44,0,1.0
1,47,1,0.0
1,52,0,1.0
1,53,1,0.0
1,59,1,1.0
1,64,0,0.0
1,65,0,0.0
1,66,1,0.0
1,69,1,0.0
1,91,1,0.0
1,92,1,0.0
1,96,1,0.0
1,99,0,0.0
1,104,1,1.0
1,108,0,0.0
1,117,0,0.0
1,120,1,1.0
1,124,1,0.0
1,133,0,1.0
1,140,1,0.0
1,146,1,0.0
1,150,1,1.0
1,153,0,1.0
1,154,0,0.0
1,163,0,0.0
1,180,1,1.0
1,181,1,1.0
1,195,0,1.0
1,199,1,0.0
1,205,0,0.0
1,207,1,1.0
1,209,1,1.0
1,217,0,1.0
1,223,0,0.0
1,233,0,0.0
1,242,0,1.0
1,246,1,1.0
1,247,1,0.0
1,249,1,1.0
1,250,1,1.0
1,253,1,0.0
1,266,0,1.0
1,272,0,0.0
1,275,1,0.0
1,280,0,1.0
1,283,0,0.0
1,290,0,0.0
1,291,1,1.0
1,295,0,0.0
1,318,1,1.0
1,319,0,1.0
1,343,1,1.0
1,348,0,1.0
1,352,0,0.0
1,354,1,1.0
1,361,1,1.0
1,362,0,1.0
1,365,1,1.0
1,367,0,0.0
1,372,0,1.0
1,379,1,1.0
1,384,0,1.0
1,387,1,1.0
1,388,1,1.0
1,398,0,0.0
1,401,0,0.0
1,406,1,0.0
1,411,0,0.0
1,413,1,1.0
1,425,0,0.0
1,433,1,1.0
1,435,1,0.0
1,440,0,0.0
1,442,1,0.0
1,444,1,1.0
1,452,1,0.0
1,456,1,0.0
1,458,0,0.0
1,461,1,0.0
1,462,0,0.0
1,468,1,1.0
1,476,0,1.0
1,486,1,1.0
1,489,1,0.0
1,502,0,0.0
1,503,1,0.0
1,512,0,1.0
1,515,1,1.0
1,516,1,1.0
1,517,0,0.0
1,522,1,1.0
1,533,0,0.0
1,537,0,0.0
1,541,0,1.0
1,550,0,0.0
1,572,1,0.0
1,575,1,0.0
1,577,0,0.0
1,578,0,0.0
1,581,0,0.0
1,587,0,0.0
1,594,0,0.0
1,607,0,0.0
1,616,0,0.0
1,623,1,1.0
1,625,1,0.0
1,627,0,1.0
1,634,0,0.0
1,636,0,0.0
1,645,0,0.0
1,646,1,0.0
1,655,0,0.0
1,656,1,0.0
1,670,0,1.0
1,677,1,0.0
1,679,1,0.0
1,685,1,1.0
1,686,0,0.0
1,688,0,0.0
1,690,0,0.0
1,691,1,1.0
1,692,0,1.0
1,696,1,0.0
1,697,0,0.0
1,699,1,1.0
1,703,0,0.0
1,714,1,1.0
1,720,1,1.0
1,722,0,0.0
1,725,1,1.0
1,726,1,1.0
1,727,0,0.0
1,729,1,0.0
1,733,1,0.0
1,736,1,1.0
1,741,1,0.0
1,745,1,1.0
1,750,1,1.0
1,754,1,1.0
1,755,0,0.0
1,756,0,0.0
1,757,0,1.0
