
—— fold 1/5 —————————————————————
[eval 00000]  loss = 0.844245
[eval 00010]  loss = -0.126253
[eval 00020]  loss = -3.785494
[eval 00030]  loss = 1.550134
[eval 00040]  loss = 0.398037
[eval 00050]  loss = 2.134395
[eval 00060]  loss = 0.847277
[eval 00070]  loss = -2.518830
[eval 00080]  loss = -2.161791
[eval 00090]  loss = -1.505965
[eval 00100]  loss = 1.278493
[eval 00110]  loss = -2.443399
[eval 00120]  loss = 1.464937
[eval 00130]  loss = -3.791472
[eval 00140]  loss = -3.704063
[eval 00150]  loss = -3.856422
[eval 00160]  loss = -2.446245
[eval 00170]  loss = -3.974674
[eval 00180]  loss = 1.568684
[eval 00190]  loss = 0.089054
[eval 00200]  loss = 3.802265
[eval 00210]  loss = 2.079068
[eval 00220]  loss = -1.160098
[eval 00230]  loss = 1.803885
[eval 00240]  loss = 1.585931
[eval 00250]  loss = -1.543153
[eval 00260]  loss = 0.365463
[eval 00270]  loss = -2.316862
[eval 00280]  loss = 1.039000
[eval 00290]  loss = -3.539590
[eval 00300]  loss = -0.355499
[eval 00310]  loss = -1.847412
[eval 00320]  loss = 1.370333
[eval 00330]  loss = 0.476415
[eval 00340]  loss = 2.000923
[eval 00350]  loss = -0.478248
[eval 00360]  loss = -0.874221
[eval 00370]  loss = -4.075467
[eval 00380]  loss = -4.097703
[eval 00390]  loss = 3.257178
[eval 00400]  loss = -1.998269
[eval 00410]  loss = 0.521691
[eval 00420]  loss = 0.294425
[eval 00430]  loss = 3.942764
[eval 00440]  loss = 2.284252
[eval 00450]  loss = -0.789361
[eval 00460]  loss = -0.316073
[eval 00470]  loss = -1.805224
[eval 00480]  loss = 2.231209
[eval 00490]  loss = 3.211238
[eval 00500]  loss = -4.554580
[eval 00510]  loss = -2.128755
[eval 00520]  loss = 3.093420
[eval 00530]  loss = 1.280398
[eval 00540]  loss = -0.152808
[eval 00550]  loss = -3.186919
[eval 00560]  loss = -2.413958
[eval 00570]  loss = -4.118402
[eval 00580]  loss = -1.998112
[eval 00590]  loss = 3.623524
[eval 00600]  loss = -3.701276
[eval 00610]  loss = -2.021028
[eval 00620]  loss = -3.298816
[eval 00630]  loss = -2.795780
[eval 00640]  loss = -3.600442
[eval 00650]  loss = 4.308189
[eval 00660]  loss = -3.091664
[eval 00670]  loss = 2.894448
[eval 00680]  loss = -0.686985
[eval 00690]  loss = -3.161010
[eval 00700]  loss = -0.615955
[eval 00710]  loss = -1.746928
[eval 00720]  loss = 2.163684
[eval 00730]  loss = -0.825147
[eval 00740]  loss = 0.609790
[eval 00750]  loss = -3.745359
[eval 00760]  loss = 2.263193
[eval 00770]  loss = -3.811770
[eval 00780]  loss = -2.953046
[eval 00790]  loss = -0.131220
